team,group,teamNum
EDward Gaming,PA,1
Infinity eSports,PA,2
Dire Wolves,PA,3
G2 Esports,PB,1
SuperMassive,PB,2
Ascension Gaming,PB,3
Cloud9,PC,1
KaBuM e-Sports,PC,2
DetonatioN FocusMe,PC,3
G-Rex,PD,1
Gambit Esports,PD,2
Kaos Latin Gamers,PD,3
Flash Wolves,A,1
Afreeca Freecs,A,2
Phong Vu Buffalo,A,3
Royal Never Give Up,B,1
Gen.G,B,2
Vitality,B,3
KT Rolster,C,1
MAD Team,C,2
Team Liquid,C,3
Fnatic,D,1
100 Thieves,D,2
Invictus Gaming,D,3
