,team,teamid,elo,Wins,Losses,league
102,CNB e-Sports Club,19,1472.5321131,28.0,31.0,CBLoL
103,Unicorns of Love,190,1521.75575663,49.0,46.0,EULCS
104,Vici Gaming,191,1446.56133977,36.0,55.0,LPL
105,Virtus.pro,192,1492.75545387,2.0,1.0,MSI
106,Vitality,193,1703.23412734,40.0,36.0,EULCS
107,Vivo Keyd,194,1604.79321189,15.0,11.0,CBLoL
108,Wayi Spider,195,1542.33377535,8.0,17.0,LMS
109,Wind and Rain,196,1371.23668781,2.0,3.0,EUCS
110,Young Generation,197,1509.73649102,0.0,3.0,WC
111,YouthCREW,198,1549.874688,12.0,16.0,LPL
112,eUnited,199,1537.71598384,22.0,9.0,NACS
113,100 Thieves Academy,2,,9.0,8.0,EULCS
114,Chiefs eSports Club,20,1626.89209029,5.0,3.0,LPL
115,eXtreme Gamers,200,1327.16716113,10.0,31.0,LMS
116,eXtreme Gamers eSports Club,200,1327.16716113,10.0,31.0,LMS
117,g3nerationX,202,1420.03218331,1.0,6.0,CBLoL
118,paiN Gaming,203,1500.82169242,30.0,12.0,CBLoL
119,Phong Vu Buffalo,204,1500.0,,,VCS
120,Infinity eSports,205,1480.04280682,0.0,2.0,xxx
121,Chungcheongnam,21,1731.12969212,0.0,1.0,LPL
122,Cilekler,22,1447.93389323,3.0,11.0,LPL
123,Cloud9,23,1771.86943114,90.0,52.0,NALCS
124,Cloud9 Academy,24,,16.0,5.0,LCK
125,Cloud9 Challenger,25,1824.57743621,10.0,3.0,LPL
126,Clutch Gaming,26,1525.67879115,13.0,12.0,LCK
127,Clutch Gaming Academy,27,,11.0,11.0,LCK
128,Copenhagen Wolves,28,1635.43813177,5.0,7.0,LPL
129,Cougar eSports,29,1329.70254821,1.0,13.0,LPL
130,17 Academy,3,1428.22364023,1.0,3.0,LMS
131,Counter Logic Gaming,30,1606.84059846,78.0,60.0,NALCS
132,Crew e-Sports Club,31,1618.46989188,30.0,11.0,LPL
133,DAN Gaming,32,1599.78343331,8.0,14.0,LPL
134,Dark Passage,33,1590.56011491,39.0,32.0,LMS
135,Delta Fox,34,1313.45779132,5.0,13.0,NACS
136,DetonatioN FocusMe,35,1670.10870424,1.0,2.0,LPL
137,Dignitas,36,1568.09257089,33.0,35.0,NALCS
138,Dire Wolves,37,1492.37969405,4.0,5.0,MSI
139,Dream Team,38,1652.80951464,6.0,6.0,LPL
140,EDward Gaming,39,1803.22265498,77.0,27.0,LPL
141,AHQ Fighter,4,1502.59335171,3.0,1.0,LMS
142,ESC Ever,40,1661.50067845,14.0,16.0,MSI
143,EVOS Esports,41,1580.40821451,2.0,5.0,EULCS
144,Eanix,42,1425.04770151,0.0,5.0,MSI
145,Echo Fox,43,1669.40111765,50.0,63.0,NALCS
146,Echo Fox Academy,44,,10.0,12.0,LCK
147,Edward Gaming,45,1775.44440428,12.0,9.0,LPL
148,Elements,46,1426.39995167,4.0,5.0,MSI
149,Ember,47,1565.528332,4.0,1.0,MSI
150,EnVyUs,48,1539.61172419,38.0,38.0,NALCS
151,Enemy,49,1465.99976282,2.0,3.0,MSI
152,AHQ e-Sports Club,5,1501.1365262,77.0,49.0,LMS
153,Energy Pacemaker.All,50,1521.58598527,2.0,3.0,MSI
154,Epsilon Esports,51,1447.26086345,3.0,3.0,MSI
155,Ever8 Winners,52,1625.15425549,9.0,16.0,LCK
156,Fenerbahce Esports,53,1639.3705286,53.0,27.0,LMS
157,Fire Ball,54,1299.06398016,7.0,27.0,LMS
158,Flamengo eSports,55,1631.2639451,7.0,4.0,MSI
159,Flash Wolves,56,1924.89492324,107.0,32.0,LMS
160,FlyQuest,57,1558.04311316,22.0,22.0,NALCS
161,FlyQuest Academy,58,,17.0,9.0,LCK
162,Flyquest,59,1454.40117906,15.0,17.0,NALCS
163,Afreeca Freecs,6,1857.84169128,94.0,63.0,LCK
164,Fnatic,60,1796.5179275,91.0,52.0,EULCS
165,Fnatic Academy,61,1514.87965243,7.0,7.0,EUCS
166,Funplus Phoenix,62,1686.27917613,27.0,25.0,EULCS
167,G-Rex,63,1685.90711023,32.0,12.0,CBLoL
168,G2 Esports,64,1728.92186969,95.0,48.0,EULCS
169,GIGABYTE Marines,65,1637.32332486,7.0,3.0,MSI
170,Galakticos,66,1369.32919232,15.0,30.0,LMS
171,Galatasaray Esports,67,1463.07202314,5.0,9.0,MSI
172,Gambit Esports,68,1506.56780097,5.0,3.0,EULCS
173,Game Talents,69,1548.0407548,14.0,17.0,LPL
174,Albus NoX Luna,7,1690.22278267,7.0,2.0,LPL
175,Giants,71,1515.51376129,31.0,40.0,EUCS
176,Giants Gaming,72,1466.4174471,5.0,11.0,CBLoL
177,Gigabyte Marines,73,1520.22002258,0.0,4.0,MSI
178,Gold Coin United,74,1587.66799257,26.0,6.0,NACS
179,Golden Guardians,75,1495.85417942,5.0,13.0,LMS
180,Golden Guardians Academy,76,,5.0,13.0,LCK
181,Griffin,77,1860.51266205,16.0,14.0,NAAc
182,H2K,78,1449.7246144,68.0,46.0,EULCS
183,HWA Gaming,79,1599.67197023,20.0,26.0,LMS
184,Apex,8,1550.00303114,23.0,15.0,LPL
185,Hanwha Life Esports,80,1717.51738436,12.0,11.0,NAAc
186,Hard Random,81,1596.20141703,7.0,2.0,NAAc
187,Hong Kong Attitude,82,1539.34849413,34.0,23.0,LMS
188,Hong Kong Esports,83,1428.52876542,20.0,23.0,LMS
189,Huma,84,1477.45273021,10.0,6.0,NAAc
190,Hyper Youth Gaming,85,1473.54723061,0.0,5.0,NAAc
191,I MAY,87,1673.50911401,43.0,28.0,LPL
192,I May,87,1673.50911401,43.0,28.0,LPL
193,IDM Gaming,88,1515.13719096,2.0,6.0,NAAc
194,INTZ,89,1529.03021524,54.0,22.0,CBLoL
195,INTZ e-Sports,89,1529.03021524,54.0,22.0,CBLoL
196,INTZ e-Sports Club,89,1529.03021524,54.0,22.0,CBLoL
197,Apex Pride,9,1676.78248363,3.0,2.0,LPL
198,Immortals,92,1668.39101774,59.0,30.0,NALCS
199,Inspire eSports,93,1567.03043196,5.0,4.0,NAAc
200,Invictus Gaming,94,1894.98416071,82.0,37.0,LPL
201,Isurus Gaming,95,1421.18771902,2.0,4.0,MSI
202,J Team,96,1519.13955298,59.0,34.0,LMS
203,JD Gaming,97,1731.72359395,40.0,30.0,LPL
204,Jin Air Green Wings,98,1689.98125819,66.0,74.0,LCK
